,16,17,18,19,20,21,22,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,fitness
0,333.42,139.653,1625.73,1634.56,5568.19,0.5,0.5,100,159,238,431,763,1140,1420,1463,1682,3741,6463,2046,8,7267.88
5,2743.61,665.466,12718.3,10075.6,41287.3,0.5,0.5,789,1165,1827,3120,5513,8322,10293,11052,11533,17333,32381,15225,92,29070.9
10,2045.02,1753.2,8425.67,14053.7,16850.7,28951,0.5,708,1115,1693,2809,4616,6869,8295,9292,9554,10196,15500,18255,611,6289.5
15,1215.26,729.506,3705.51,5403.19,13789.2,20671.6,0.5,426,537,856,1239,1898,2897,3983,4802,5557,7328,17086,13179,322,9490.75
20,1355.14,601.055,4282.15,4977.45,15565.7,18571.1,0.5,427,602,862,1280,2091,3063,4077,4930,5813,7697,16307,13086,297,9245.78
25,1224.92,1645.56,3346.21,9276.21,6619.18,33640.8,0.5,486,770,1097,1624,2368,3497,4499,5393,6191,7144,11689,15471,1050,2434.12
30,1597.85,1555.51,4337.82,8480.05,11597.7,18368.1,28149.5,618,825,1274,1807,2658,3782,4827,5831,6551,7252,9593,12378,2550,117.415
35,1859.44,1560.24,4453.3,8283.64,9280.13,30816.2,0.5,694,923,1315,1863,2770,3663,4686,5485,6350,7703,12858,11819,1234,838.131
40,2290.37,1990.99,5267.91,7876.63,9424.24,28562.3,0.5,862,1153,1610,2313,3148,3930,4757,5454,6176,7327,11767,13917,767,2744.32
45,2227.19,1789.52,4099.64,7638.39,7059.63,26546.2,11350.6,873,1030,1477,1954,2622,3417,4184,4741,5642,6543,9407,14165,1497,1413.66
50,2169.25,1359.16,3656.76,5760.41,8977.9,16956,40073.5,791,962,1237,1675,2164,2857,3561,4155,5165,5949,8466,14681,2570,633.884
55,2048.78,1056.45,3244.04,4635.35,7523.14,16160.5,30025.7,731,860,1070,1412,1906,2374,2934,3478,4399,5237,7148,13631,1839,1249.43
60,1833.88,968.026,2550.41,3881.37,7543.52,9677.52,39785.1,654,780,923,1243,1471,2011,2488,3099,3707,4523,5819,12011,2196,621.754
65,1781.91,447.262,2200.45,2786.68,7350,6634.45,36253.1,590,651,727,862,1175,1580,2050,2449,3280,3974,4843,9696,2105,284.428
