b=12.5,,,,,,,,,,,,,
,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22
10,429,610,935,1296,1967,3066,3710,4068,4175,3521,2117,1056,525
31,864,1080,1453,1888,2496,3153,3561,3628,3755,3520,3143,2349,1315
50,765,854,883,1036,1271,1524,1875,2207,2568,2917,2802,2219,1465
70,1148,1092,1168,1326,1516,1849,2413,3057,3150,2978,2719,1967,1319
94,1769,1746,1891,1855,1863,2030,2216,2183,2015,1623,1332,969,833
110,4972,5568,6215,5992,5388,4621,3621,2451,1815,1194,823,579,373
130,5390,6317,6656,5987,4880,3603,2685,1862,1161,810,606,371,201
150,2350,2378,1993,1417,1032,956,969,843,627,472,433,421,346
178,2682,2387,1826,1129,994,1118,1250,947,586,384,313,318,341
187,2653,2504,1828,1286,1119,1313,1497,1272,705,462,350,389,548
203,1803,1641,1120,800,818,1170,1557,1305,811,486,366,369,448
