b=-22.5,,,,,,,,,,,,,
,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22
31,190,260,324,501,773,957,1293,1578,1847,1943,1915,1846,1451
50,241,336,456,647,870,1079,1342,1629,1933,2024,2044,1824,1473
70,216,245,276,381,465,617,740,1042,1214,1431,1497,1361,1005
94,221,219,253,282,313,360,493,641,760,868,824,716,629
110,132,106,135,194,249,338,329,333,391,446,417,436,390
130,243,281,294,449,544,536,423,439,531,518,417,363,382
150,259,293,382,465,541,497,506,678,718,611,476,407,366
178,775,910,1075,1206,1243,1082,1047,865,699,506,429,390,296
187,643,787,889,1019,1016,902,841,757,670,580,502,400,321
203,549,680,739,891,820,757,687,695,605,465,352,328,333
