,16,17,18,19,20,21,22,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,fitness
31,0,627.746,927.655,1495.41,3181.34,2543.4,4693.44,1e-07,1e-07,335,464,754,947,1143,1452,1657,1785,1806,1501,1261,34.2659
50,0,709.893,560.016,1455.98,2778.61,2640.5,4788.81,1e-07,1e-07,316,433,566,762,1012,1311,1490,1667,1695,1535,1233,10.149
70,0,378.396,236.951,716.771,1374.73,1706.88,2116.66,1e-07,1e-07,166,219,241,418,460,640,757,907,942,809,644,23.2871
94,0,267.26,252.942,319.358,1021.95,1034.75,2094.92,1e-07,1e-07,127,172,200,274,281,374,505,614,648,589,533,19.4186
110,0,196.134,163.507,252.63,938.944,597.753,1476.57,1e-07,1e-07,92,119,140,194,218,323,428,488,497,386,391,26.9819
130,0,214.889,118.487,161.095,694.639,196.217,1268.42,1e-07,1e-07,99,111,116,151,147,229,298,318,287,267,263,14.0682
150,0,241.199,117.857,218.393,954.4,0.5,1683.7,1e-07,1e-07,100,127,140,147,187,337,403,348,329,300,308,10.6095
178,0,919.553,67.0508,823.467,639.289,1172.53,1320.27,1e-07,1e-07,351,375,360,346,449,560,505,502,578,587,358,16.098
187,0,777.443,96.9936,658.716,909.853,530.367,1929.23,1e-07,1e-07,304,332,299,325,399,510,535,481,487,492,388,2.67682
203,0,591.471,129.651,507.861,725.107,0.5,1574.37,1e-07,1e-07,222,280,268,255,325,420,394,335,252,253,302,17.8324
